id	datetime	debit	credit	reference	description
6be5c385	2014-11-02T18:47:55.364Z	33.87	0	100-c3caea3c	Comcast
eaf45d0b	2014-11-17T00:00:00.000Z	34.99	0	105-d2c489ed	Comcast
b4003fc7	2014-11-24T18:53:36.289Z	325.57	0	100-2e076e04	10/15-11/13
